User_Notes,SERVICE_KEY,FULL_NAME,EPG_NUMBER,EPG_NAME,VESPA_NAME,CHANNEL_NAME,TECHEDGE_NAME,INFOSYS_NAME,BARB_REPORTED,ACTIVEX,CHANNEL_OWNER,OLD_PACKAGING,NEW_PACKAGING,PAY_FREE_INDICATOR,CHANNEL_GENRE,CHANNEL_TYPE,FORMAT,PARENT_SERVICE_KEY,TIMESHIFT_STATUS,TIMESHIFT_MINUTES,RETAIL,CHANNEL_REACH,HD_SWAP_EPG_NUMBER,SENSITIVE_CHANNEL,SPOT_SOURCE,PROMO_SOURCE,NOTES,EFFECTIVE_FROM,EFFECTIVE_TO,TYPE_ID,UI_DESCR,EPG_CHANNEL,AMEND_DATE,CHANNEL_PACK,SERVICE_ATTRIBUTE_VERSION,PRIMARY_SALES_HOUSE,CHANNEL_GROUP,PROVIDER_ID,PAY_SKY_SPORTS_FLAG,PAY_SPORTS_FLAG,PAY_TV_FLAG,KEY_PAY_ENTERTAINMENT_FLAG,SKY_SPORTS_NEWS_FLAG,SKY_MOVIES_FLAG,BT_SPORT_FLAG,Dummy
PSK,1022,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PSK,1043,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1043,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PSK,1044,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1044,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PSK,1045,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1045,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PAY FREE INDICATOR,1261,.,.,.,.,.,.,.,.,.,.,.,.,FTA,.,NR - FTA - Radio,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PAY FREE INDICATOR,1262,.,.,.,.,.,.,.,.,.,.,.,.,FTA,.,NR - FTA - Radio,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PAY FREE INDICATOR,1263,.,.,.,.,.,.,.,.,.,.,.,.,FTA,.,NR - FTA - Radio,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PAY FREE INDICATOR,1264,.,.,.,.,.,.,.,.,.,.,.,.,FTA,.,NR - FTA - Radio,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PSK,1325,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1314,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PSK,1326,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PSK,1701,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1301,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PAY FREE INDICATOR,2026,.,.,.,.,.,.,.,.,.,.,.,.,FTA,.,NR - FTA - Radio,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PAY FREE INDICATOR,2034,.,.,.,.,.,.,.,.,.,.,.,.,FTA,.,NR - FTA - Radio,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
SI has 115,2075,.,141,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PSK,2078,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2020,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PSK,2086,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2018,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PSK,2088,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2019,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PAY FREE INDICATOR,2111,.,.,.,.,.,.,.,.,.,.,.,.,FTA,.,NR - FTA - Radio,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PAY FREE INDICATOR,2112,.,.,.,.,.,.,.,.,.,.,.,.,FTA,.,NR - FTA - Radio,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PAY FREE INDICATOR,2113,.,.,.,.,.,.,.,.,.,.,.,.,FTA,.,NR - FTA - Radio,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PAY FREE INDICATOR,2114,.,.,.,.,.,.,.,.,.,.,.,.,FTA,.,NR - FTA - Radio,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PAY FREE INDICATOR,2115,.,.,.,.,.,.,.,.,.,.,.,.,FTA,.,NR - FTA - Radio,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PAY FREE INDICATOR,2117,.,.,.,.,.,.,.,.,.,.,.,.,FTA,.,NR - FTA - Radio,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PAY FREE INDICATOR,2118,.,.,.,.,.,.,.,.,.,.,.,.,FTA,.,NR - FTA - Radio,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PAY FREE INDICATOR,2119,.,.,.,.,.,.,.,.,.,.,.,.,FTA,.,NR - FTA - Radio,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PAY FREE INDICATOR,2120,.,.,.,.,.,.,.,.,.,.,.,.,FTA,.,NR - FTA - Radio,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PAY FREE INDICATOR,2122,.,.,.,.,.,.,.,.,.,.,.,.,FTA,.,NR - FTA - Radio,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PAY FREE INDICATOR,2123,.,.,.,.,.,.,.,.,.,.,.,.,FTA,.,NR - FTA - Radio,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PAY FREE INDICATOR,2124,.,.,.,.,.,.,.,.,.,.,.,.,FTA,.,NR - FTA - Radio,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PAY FREE INDICATOR,2126,.,.,.,.,.,.,.,.,.,.,.,.,FTA,.,NR - FTA - Radio,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PAY FREE INDICATOR,2127,.,.,.,.,.,.,.,.,.,.,.,.,FTA,.,NR - FTA - Radio,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PAY FREE INDICATOR,2128,.,.,.,.,.,.,.,.,.,.,.,.,FTA,.,NR - FTA - Radio,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PAY FREE INDICATOR,2129,.,.,.,.,.,.,.,.,.,.,.,.,FTA,.,NR - FTA - Radio,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PAY FREE INDICATOR,2130,.,.,.,.,.,.,.,.,.,.,.,.,FTA,.,NR - FTA - Radio,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PAY FREE INDICATOR,2862,.,.,.,.,.,.,.,.,.,.,.,.,FTA,.,NR - FTA - Radio,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PAY FREE INDICATOR,2901,.,.,.,.,.,.,.,.,.,.,.,.,FTA,.,NR - FTA - Radio,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PAY FREE INDICATOR,2902,.,.,.,.,.,.,.,.,.,.,.,.,FTA,.,NR - FTA - Radio,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PAY FREE INDICATOR,2903,.,.,.,.,.,.,.,.,.,.,.,.,PAY,.,NR - FTA - Radio,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PAY FREE INDICATOR,2904,.,.,.,.,.,.,.,.,.,.,.,.,FTA,.,NR - FTA - Radio,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PAY FREE INDICATOR,2908,.,.,.,.,.,.,.,.,.,.,.,.,FTA,.,NR - FTA - Radio,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PAY FREE INDICATOR,2909,.,.,.,.,.,.,.,.,.,.,.,.,FTA,.,NR - FTA - Radio,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PAY FREE INDICATOR,2917,.,.,.,.,.,.,.,.,.,.,.,.,FTA,.,NR - FTA - Radio,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PAY FREE INDICATOR,2920,.,.,.,.,.,.,.,.,.,.,.,.,FTA,.,NR - FTA - Radio,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PAY FREE INDICATOR,2926,.,.,.,.,.,.,.,.,.,.,.,.,FTA,.,NR - FTA - Radio,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PAY FREE INDICATOR,2928,.,.,.,.,.,.,.,.,.,.,.,.,FTA,.,NR - FTA - Radio,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PAY FREE INDICATOR,2971,.,.,.,.,.,.,.,.,.,.,.,.,FTA,.,NR - FTA - Radio,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PSK,3028,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3024,.,1440,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sensitive,3111,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sensitive,3201,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PSK,3206,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5358,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sensitive,3214,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sensitive,3224,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sensitive,3355,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
